nom;prix_intervalle;rating;nb_notes;adresse;ville;main_category;commune;code_postal;arrondissement;zone_paris;INSEE_FROM_CP;INSEE_COM;NOM;POP;Population_3_20;C20_FAM;C20_FAMMONO;QL3_20;QLFMONO;RDISP_MED;tx_BAC;tx_O;tx_Chom;FDep;APL;
Grand Cafe Capucines;37.0;5.0;19271;4 Boulevard des Capucines;Paris, Ile-de-France, France;cafe;Paris;75009;9.0;centre;75109;75109;Paris 9e Arrondissement;60168.0;9785.83369966075;14608.6262698335;2112.99452561135;0.709553245832839;0.743227767047381;35630;0.85008578734145;0.030019388169036;0.076818168211707;3.21525560165214;5.741;
Brigade du Tigre;23.5;5.0;2533;38 Rue du Faubourg Poissonniere;Paris, Ile-de-France, France;restaurant asiatiques;Paris;75010;10.0;intermediaire;75110;75110;Paris 10e Arrondissement;83459.0;13494.021452243;19584.0122896016;3264.72212696351;0.705376448586344;0.856598842358534;28060;0.774063111880029;0.044224639427051;0.095936388703015;1.40254851180917;5.934;
adraba;51.0;5.0;1571;40 Rue Veron;Paris, Ile-de-France, France;restaurant;Paris;75018;18.0;peripherie;75118;75118;Paris 18e Arrondissement;191135.0;30805.0161302009;43425.8288875106;9783.97545467691;0.703127291700882;1.15771103039105;23930;0.715037004573533;0.059916595322748;0.092040756232497;0.490370335625503;4.506;
Nai Nai - Bistrot chic asiatique;25.0;5.0;6117;93 Rue de la Victoire;Paris, Ile-de-France, France;restaurant;Paris;75009;9.0;centre;75109;75109;Paris 9e Arrondissement;60168.0;9785.83369966075;14608.6262698335;2112.99452561135;0.709553245832839;0.743227767047381;35630;0.85008578734145;0.030019388169036;0.076818168211707;3.21525560165214;5.741;
Le Jules Verne;100.0;5.0;7871;Avenue Gustave Eiffel 2eme, Eiffel Tower, Av. Anatole France;Paris, Ile-de-France, France;restaurant francais;Paris;75007;7.0;centre;75107;75107;Paris 7e Arrondissement;48520.0;8118.98517883259;11547.3973563606;1512.59421664728;0.730018207474047;0.673087086427869;44110;0.855623356214713;0.022072883224414;0.061382880841802;4.68011779355016;5.554;
ONYX;56.0;5.0;12097;71 Rue de Provence;Paris, Ile-de-France, France;restaurant francais;Paris;75009;9.0;centre;75109;75109;Paris 9e Arrondissement;60168.0;9785.83369966075;14608.6262698335;2112.99452561135;0.709553245832839;0.743227767047381;35630;0.85008578734145;0.030019388169036;0.076818168211707;3.21525560165214;5.741;
Epicure;100.0;5.0;5082;112 Rue du Faubourg Saint-Honore;Paris, Ile-de-France, France;restaurant;Paris;75008;8.0;centre;75108;75108;Paris 8e Arrondissement;35631.0;7081.67320716381;8845.45397479675;1289.69041278396;0.867082869656758;0.749200878157974;42680;0.83621824477181;0.030587773598227;0.063637978583227;4.27771457621156;5.256;
Virtus;100.0;5.0;1981;29 Rue de Cotte;Paris, Ile-de-France, France;restaurant francais;Paris;75012;12.0;intermediaire;75112;75112;Paris 12e Arrondissement;140311.0;23290.1806582801;33253.9188177107;6535.30052445586;0.724158900822797;1.00984719740025;29250;0.757852723654768;0.038086111867207;0.078425923577196;1.8346477947609;4.146;
Riviera Fuga;55.0;5.0;7479;10 Port des Invalides;Paris, Ile-de-France, France;restaurant;Paris;75007;7.0;centre;75107;75107;Paris 7e Arrondissement;48520.0;8118.98517883259;11547.3973563606;1512.59421664728;0.730018207474047;0.673087086427869;44110;0.855623356214713;0.022072883224414;0.061382880841802;4.68011779355016;5.554;
Kasumi - Fusion Japonaise;30.0;5.0;7142;38 Rue Balard;Paris, Ile-de-France, France;restaurant;Paris;75015;15.0;intermediaire;75115;75115;Paris 15e Arrondissement;229472.0;39337.4060818076;53757.288724588;9507.41786511248;0.74787454884094;0.908778740654541;32120;0.805395319867429;0.030544020423073;0.074763457990758;2.57368316242971;4.331;
